metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1773575676,1.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_duration,1773575676,533.619920,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_blocked,1773575676,0.417236,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_connecting,1773575676,0.284637,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_tls_handshaking,1773575676,0.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_sending,1773575676,0.196280,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_waiting,1773575676,387.116313,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_receiving,1773575676,146.307327,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_failed,1773575676,0.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
vus,1773575677,1.000000,,,,,,,,,,,,,,,,
vus_max,1773575677,2.000000,,,,,,,,,,,,,,,,
vus,1773575678,1.000000,,,,,,,,,,,,,,,,
vus_max,1773575678,2.000000,,,,,,,,,,,,,,,,
http_reqs,1773575678,1.000000,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_duration,1773575678,383.444046,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_blocked,1773575678,0.007103,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_connecting,1773575678,0.000000,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_tls_handshaking,1773575678,0.000000,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_sending,1773575678,0.052118,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_waiting,1773575678,237.194158,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_receiving,1773575678,146.197770,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_failed,1773575678,0.000000,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
vus,1773575679,1.000000,,,,,,,,,,,,,,,,
vus_max,1773575679,2.000000,,,,,,,,,,,,,,,,
vus,1773575680,1.000000,,,,,,,,,,,,,,,,
vus_max,1773575680,2.000000,,,,,,,,,,,,,,,,
vus,1773575681,1.000000,,,,,,,,,,,,,,,,
vus_max,1773575681,2.000000,,,,,,,,,,,,,,,,
http_reqs,1773575681,1.000000,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_duration,1773575681,386.990917,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_blocked,1773575681,0.007153,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_connecting,1773575681,0.000000,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_tls_handshaking,1773575681,0.000000,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_sending,1773575681,0.119176,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_waiting,1773575681,240.738062,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_receiving,1773575681,146.133679,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_failed,1773575681,0.000000,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
vus,1773575682,1.000000,,,,,,,,,,,,,,,,
vus_max,1773575682,2.000000,,,,,,,,,,,,,,,,
vus,1773575683,1.000000,,,,,,,,,,,,,,,,
vus_max,1773575683,2.000000,,,,,,,,,,,,,,,,
